"year","title","abstract","journal","doi"
"2002","Children's Influence on Internet Access at Home: Adoption and use in the family context","In this study, an integrated quantitative and qualitative research design was employed. From over 900 telephone interviews a typology of family types based on possession of media appliances was constructed, then divided into 'traditional' (low media density), 'intermediate' (average media density) and 'multimedia' (high media density) families. This typology was then used as a basis for selecting thirty-eight families for in-depth interviews. Of these, thirty-one contained children and it is these that form the basis for this article. The results of the family interviews indicate that children are a very important factor in the acquisition and use of the Internet. It was apparent from our interviews that Internet access and use become major issues in family discussions and conflicts - both between parents and children and between siblings.","",""
"2003","Public Internet Access for Young Children in the Inner City: Evidence to Inform Access Subsidy and Content Regulation","Significant U.S. policy initiatives in the late 1990s were intended to control Internet access, privacy, and indecency--specifically among children. This study reflects on these using quantitative data from a computer center in a children's library in the inner city. Researchers gathered 16 weeks of page requests ( n = 203,647) using """"click stream"""" and behavioral data, and analyzed these using nonparametric tests. Findings show that users are highly influenced by each other and browse only a small universe of sites. Game playing and communicating with individuals (via e-mail and chat) were the most popular uses. Children were uninterested in pornography and sites directed toward children. Advertising was extremely common. Children were most likely to engage in sharing when using games and chat. For this population, access, privacy and indecency initiatives to control Internet use fails to achieve its stated goals, but activities that encourage sharing in public places hold some promise for building computer knowledge.","",""
"2003","Children's Use of the Internet: Reflections on the Emerging Research Agenda"," As domestic access to the internet reaches the mass market in industrialized countries, this article identifies and evaluates the emerging research agenda, focusing particularly on children and young people. The nature of children's internet use generates public anxieties which both guide and undermine research, complicating the already challenging study of children within the privacy of the home. The body of empirical work reviewed is still small, but already key questions of academic and policy significance are being addressed regarding the opportunities and dangers of internet use. Such opportunities include communication, identity and participation, and education, learning and literacy; dangers arising from exclusion and the digital divide, and from certain kinds of use relating to inappropriate or undesirable contact, content and commercialism. In each of these domains, research strengths and gaps for future research are identified. The article concludes by noting areas of theoretical consensus and uncertainty framing the research agenda in this field. ","",""
"2006","Family characteristics and intergenerational conflicts over the Internet","The rapid expansion of computer use and Internet connection has the potential to change patterns of family interaction, with conflicts arising over adolescents' autonomy, parental authority and control of the computer. This study applied a conceptual framework derived from family development and human ecology theory to investigate family characteristics related to the likelihood of such conflicts. A secondary analysis was conducted of a special survey of 754 children aged 12 to 17 who used the Internet, and of their parents, performed by Pew Internet and the American Life project. Adolescent–parent conflicts over Internet use proved strongly related to the perception that the adolescent was a computer expert. Families in which adolescents were considered experts in new technologies were more likely to experience conflicts. Parents' attempt to reduce adolescent autonomy by regulating the time of Internet use increased the likelihood of family arguments over the Internet. Intergenerational conflicts over the Internet were higher in families in which parents expressed concern over the potentially negative consequences of Internet use. The implications of the findings are discussed.","",""
"2007","Taking risks when communicating on the Internet: the role of offline social-psychological factors in young people's vulnerability to online risks","Children and young people encounter a range of risks on the internet relating to communication. Making friends online has attracted particular attention as a risky behaviour, especially when this leads to offline meetings, as has giving out personal information online. This article, based on the ‘UK Children Go Online’ survey, seeks to explain the online communication of 9–19-year-olds in terms of their offline socio-psychological characteristics (shyness, life satisfaction, risk-taking), family communication patterns and online behaviour/skills. Findings show that older teens engage in more online communication activities than do younger children and so encounter more communication risks. Although girls communicate more on the internet, this seems not to put them more at risk. It was found that children's offline social psychological characteristics, particularly their levels of life satisfaction and risk-taking, influence their online communication, with different online communication activities being predicted by different patterns of off- and online characteristics. There are weak indications that, in families which have a more conversational style of communication, teens may take fewer risks online, including a lower likelihood of meeting online friends offline. Multiple regression analyses show that those children and teens who are less satisfied with their lives and who have become more frequent and skilled internet users are more likely to value the internet as a communicative environment in which they feel more confident than they do offline, particularly in relation to the potential for anonymous communication. Since this in turn leads some into risky activities, the implications for research and policy are discussed.","",""
"2009","MYTHS AND MISSED OPPORTUNITIES","Young people's use of online communication has increasingly become a concern for policy-makers, professionals, and parents. Sharing personal information and grooming or sexual solicitation by online predators have been prominent on the list of dangers. However, little research exists to support fears. This paper reviews the data we do have and shows that, far from being a major problem, the risks from online communication are small-scale and largely focused upon particular groups within the population. Furthermore, they are often misrepresented by safety campaigns and largely within the competencies of young people to manage. It goes on to argue that the over-zealous risk discourse may prevent many benefits of online communication being experienced by young people. Furthermore, the potential for using communication tools as policy vehicles has been largely ignored. The paper concludes by suggesting how risk discourses can be refined to more accurately reflect reality and also how professionals can harness the potential of online communication to benefit young people's lives.","",""
"2009","CHILDREN AND ONLINE RISK","Research on the risks associated with children's use of the internet often aims to inform policies of risk prevention. Yet paralleling the effort to map the nature and extent of online risk is a growing unease that the goal of risk prevention tends to support an over-protective, risk-averse culture that restricts the freedom of online exploration that society encourages for children in other spheres. It is central to adolescence that teenagers learn to anticipate and cope with risk – in short, to become resilient. In this article, we inquire into children and teenagers' responses after they have experienced online content or contact risks. Pan-European findings show that especially in Northern European countries with high internet access, parental perception of likelihood of online risk to their child is negatively associated with their perceived ability to cope. A comparison of representative surveys conducted among children in three relatively ‘high risk’ countries (Norway, Ireland and the United Kingdom) found that although the frequency of exposure to perceived online risks, especially content risks, is fairly high, most children adopt positive (e.g. seek help from friends) or, more commonly, neutral (e.g. ignoring the experience) strategies to cope, although a minority exacerbate the risks (e.g. passing risky content on to friends). Most strategies tend to exclude adult involvement. Significant differences in both risk and coping are found by gender and age across these countries, pointing to different styles of youthful risk management.","",""
"2010","Balancing opportunities and risks in teenagers’ use of the internet: the role of online skills and internet self-efficacy"," Many hopes exist regarding the opportunities that the internet can offer to young people as well as fears about the risks it may bring. Informed by research on media literacy, this article examines the role of selected measures of internet literacy in relation to teenagers’ online experiences. Data from a national survey of teenagers in the UK ( N = 789) are analyzed to examine: first, the demographic factors that influence skills in using the internet; and, second (the main focus of the study), to ask whether these skills make a difference to online opportunities and online risks. Consistent with research on the digital divide, path analysis showed the direct influence of age and socioeconomic status on young people’s access, the direct influence of age and access on their use of online opportunities, and the direct influence of gender on online risks. The importance of online skills was evident insofar as online access, use and skills were found to mediate relations between demographic variables and young people’s experience of online opportunities and risks. Further, an unexpected positive relationship between online opportunities and risks was found, with implications for policy interventions aimed at reducing the risks of internet use. ","",""
"2011","A Review of “Kids Online: Opportunities and Risks for Children”","My six-year-old nephew was visiting recently, along with his younger sister. It was my turn to entertain them. When my nephew saw my iPod he asked if there were any games on it. I said, “No, we are going to play with blocks.” “What kind of game is that?” he asked. He had apparently not heard of a computer game or iPod app by that name. I then produced the basket of real wood blocks—the blocks his dad had played with as a child. He and his sister then proceeded to construct a beautiful basketball court to hold a handmade wooden hoop and ball on a string. Are there risks, as well as opportunities, in playing with blocks? Sure. There can be some sibling disagreements about placement. They might pile too high and fall on a hand or foot. But they also enable the creative spirit to flow where the mind leads, tells the hand to place something where the eye has envisioned it, and so on. A great sense of pride and accomplishment—or possibly frustration and hurt—may follow. Much of the discussion about children’s use of the Internet, at least in the United States, has focused on the risks involved, and the decline of opportunities for creative handson entertainment and learning available through tools as simple as wooden blocks (Lenhart 2005; Becker 2004; Ybarra and Mitchell 2008; Polly Klass Foundation 2005). But three decades or so down the road since the beginning of home use of the Internet, as opposed to just scholarly, commercial, and government use, the discourse, at least in this volume, has begun to shift. Risks are still a primary interest of researchers and of donor organizations that fund research on children’s Internet use. In fact, such risk-driven research is on the rise. Yet the European editors and authors of Kids Online: Opportunities and Risks for Children call for a more nuanced approach with a greater sense of balance between risks and opportunities (23, figure 2.4). The multiple authors in this volume draw much of their data from almost 400 separate studies conducted across Europe. The network of research teams in twenty-one countries was called the EU Kids Online Project. It gathered data from 2006 to 2009. Indicative of the driving concern about risks, the study was funded by the European Commission’s Safer Internet Plus Programme. It was commissioned to identify and analyze studies concerning the intersection of children under age 18 years and their families, online technologies, and Europe-based empirical research on risk and safety. For those interested in examining the entire database of the 400 studies, it is available online at http://www.lse.ac.uk/collections/EUKidsOnline/. The collection policy for the study is detailed at http://www.eukidsonline.net/. Some 46 percent of the mainly quantitative studies examined for this report include at least one aspect related to risks. Some of the leading risk concerns in the studies are: exposure to harmful or offensive content (25 percent); contact with strangers (25 percent); encountering sexual, racist, or hateful material (22 percent); revealing personal information (22 percent); and cyberbullying (15 percent), (24, table 2.1). Approaches to these and other risks and dangers associated with the Internet are compared across countries and analyzed in the context of varying cultural values.","",""
"2012","The influences of information literacy, internet addiction and parenting styles on internet risks"," The purpose of this study is to examine how demographics, addiction symptoms, information literacy, parenting styles and internet activities can predict ‘internet risks’. Data were gathered from a probability sample of 718 adolescents and teenagers, aged 9–19 in Hong Kong, using face-to-face interviews. Results show that adolescents who are often targets of harassment tend to be older boys with a high family income. They are targets probably because they spend a lot of time on social networking sites (SNSs) and prefer the online setting. Adolescents who encounter a lot of unwelcome solicitation of personal or private information online tend to be older girls. In information literacy, they are generally very competent with publishing tools but are not structurally literate, especially in understanding how information is socially situated and produced. Implications and recommendations for future research are discussed. ","",""
